last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
,999999,2019,116018,0,48.6,20,46.3,21.2,65.5,67.1,34,49.9,25.8,
Plawecki, Kevin,608700,2019,1061,4,54.9,18,45.2,23.6,66.4,80.4,35.1,55.7,29.2
Hedges, Austin,595978,2019,2111,17,54.5,22.1,50.4,21.2,65.2,69.4,42.1,62.1,39.4
Stassi, Max,545358,2019,1111,6,54.3,21.1,43.3,21.2,67.2,77.8,32.1,59.4,37.1
Flowers, Tyler,452095,2019,1843,11,53.6,22.4,51.7,10,63.6,71.8,40.2,63.2,35.9
Martin, Russell,431145,2019,1190,5,53.2,24.3,53.2,18.5,69.7,75.3,37.9,49.7,34.1
Kelly, Carson,608348,2019,2083,6,52.8,19.7,41.8,17.3,70,69.5,41.7,56.5,38.4
Avila, Alex,488671,2019,1064,3,52.4,15.9,52.5,20.5,67.8,71.4,41.2,55.9,25.4
Caratini, Victor,605170,2019,995,2,52,29.1,38.5,26.7,62.9,76.6,42.6,55.9,26.9
Perez, Roberto,547379,2019,2478,9,51.9,14.4,46.3,22,66.2,71.4,42.4,56.5,32
Leon, Sandy,506702,2019,1296,0,51.9,30.8,60.8,23.2,65.4,69.3,21.9,46.4,19
Posey, Buster,457763,2019,2229,8,51.7,28,46,15.7,74.9,67.1,36,50.1,25.1
Pina, Manny,444489,2019,1038,4,51.6,23.2,50.5,18.6,60.3,70.6,52.7,54.3,30.8
Barnes, Austin,605131,2019,1534,1,51.5,15.3,34.9,14.9,60.8,70.2,36,63.1,46.2
Vazquez, Christian,543877,2019,2637,10,51.5,24.4,54.3,28.6,66.2,73.4,33.5,47.8,27
Grandal, Yasmani,518735,2019,3010,11,51.4,18.5,50.7,30.6,58.3,72.4,34.2,57.7,31.7
Murphy, Tom,608596,2019,1463,4,51.1,17.6,38,16.1,58.8,66.1,43.5,65.6,33.3
Realmuto, J.T.,592663,2019,3118,8,51,19.6,41.4,21.6,75.4,63.5,44.9,51.5,26.5
Castro, Jason,488771,2019,1713,3,51,19.4,43.5,22.2,65.6,70.3,34.3,53.6,32.2
Nido, Tomas,621512,2019,814,2,50.5,16.4,45,18.8,61,81,26.5,46.7,36.1
Jansen, Danny,643376,2019,2508,5,50,20.8,47.4,22.8,70.8,64.2,39.8,53.5,26.7
Stallings, Jacob,607732,2019,910,1,50,20,38.6,13.8,69.4,67.1,43.6,48.2,31.8
McCann, Brian,435263,2019,1831,6,49.9,19.6,41.1,16,78.4,65.5,42,47.7,20.2
Zunino, Mike,572287,2019,1767,-1,49.7,20.5,55.4,23.9,64.7,71.1,27.8,54,20.7
Barnhart, Tucker,571466,2019,1901,3,49.2,7.4,45.3,24.2,62.6,67.6,34.2,57.4,29.8
Casali, Curt,592200,2019,1248,-1,48.9,9.4,50.4,26.7,65.6,69,33.7,49.4,22.6
Gallagher, Cam,595956,2019,1122,1,48.8,18.8,31.7,14,72.2,55.9,55.8,52.3,25.5
d'Arnaud, Travis,518595,2019,1498,-2,48.5,23.6,55.6,24.6,61.1,64.9,28.2,52.4,23.4
Garver, Mitch,641598,2019,1696,-2,48.3,17.3,41.6,10.8,65.3,63.5,37.2,56,29.6
Contreras, Willson,575929,2019,2395,-2,48.3,21.1,43.8,16.2,63.2,68.8,32.6,49.2,22.6
Maldonado, Martin,455117,2019,2435,-1,48.2,17.9,40.7,19.4,62.4,70.4,26.3,51.5,28.9
Mathis, Jeff,425772,2019,2028,-2,48,12.5,37.1,11.8,59.5,72.5,30.5,52.4,31.3
Greiner, Grayson,606988,2019,1178,0,48,25.8,37.5,20.6,63.9,68,34.9,49.8,22.6
Gomes, Yan,543228,2019,1957,0,48,18.6,37.8,15.6,74.5,60.2,31.7,51,20.2
Romine, Austin,519222,2019,1396,0,47.9,18.5,41,23,71.8,62.7,33.6,45.7,23.6
Molina, Yadier,425877,2019,2309,-3,47.7,24.1,57.9,22.5,66.7,67,26,44.8,18.6
Garneau, Dustin,572863,2019,813,0,47.6,4.3,45.1,15,65.8,63.5,27.6,53.3,29.5
Alfaro, Jorge,595751,2019,2527,-2,47.4,27.2,46,20.8,65.1,60.2,37.1,51.3,20.4
Cervelli, Francisco,465041,2019,908,-2,47.1,25.8,41.1,11.8,66.9,59.9,40.5,48.6,23.9
Suzuki, Kurt,435559,2019,1840,-2,47.1,24,47.5,22.6,67.4,62.7,36.1,45.3,18.1
Lucroy, Jonathan,518960,2019,2081,-5,47.1,10.2,39.9,17.1,62.5,69.2,24,50.4,28.6
Sanchez, Gary,596142,2019,2215,-3,47,23.8,41.4,22,64.7,69,25,42.7,29.7
Narvaez, Omar,553882,2019,2461,-5,46.9,19.2,43.9,31.8,57.8,65.5,33.5,46.4,27.5
Iannetta, Chris,455104,2019,1242,-2,46.9,23.9,53.7,30,74.2,60.4,35.9,34.1,23.3
Maile, Luke,571912,2019,1074,-2,46.8,17.8,45.9,24.1,61.9,67.7,38.9,52.6,21.1
Ramos, Wilson,467092,2019,2911,-4,46.8,24.9,59.1,37.6,62.4,68.3,23.6,32.5,16.9
Chirinos, Robinson,455139,2019,2646,-9,46.6,17.3,38.9,12,65.3,63.3,38.2,50.7,23.3
Mejia, Francisco,642336,2019,1375,-3,46.6,13.9,34.7,16.3,60.7,68.5,32.5,55,30.4
Hicks, John,543308,2019,1608,-4,46.5,20.8,41.6,24.4,64.5,66.3,30.7,46,21.2
Severino, Pedro,600474,2019,2083,-3,46.3,21.2,42.7,19.4,64.8,62.9,30.3,46.6,23.6
Phegley, Josh,572033,2019,2221,-8,46.2,19.2,42,15.7,67.7,59.5,31.7,45.9,25.9
Wolters, Tony,547172,2019,2539,-9,45.7,16.9,46.3,15.7,61.8,66.2,36,45.7,22.2
Vogt, Stephen,519390,2019,1057,-1,45.6,18.8,26.4,24.6,61.5,65.8,27.5,52.2,33.3
Diaz, Elias,553869,2019,2096,-7,45.1,23.1,49.1,28.3,62.2,62.4,34,38.3,18.8
McCann, James,543510,2019,2479,-12,45,21.4,49.1,29.4,66.1,64.6,21.4,43.2,13.5
Sisco, Chance,642082,2019,1101,-3,44.7,13.6,44.6,14.6,67.6,59.8,34.6,42.5,17.4
Kiner-Falefa, Isiah,643396,2019,1058,-6,42.8,20.6,37.1,11.1,65.6,53.7,23,46,20.7
Wieters, Matt,446308,2019,1172,-7,42.6,14.1,48.4,15.1,68.6,54.1,25.6,41.6,17.4
Castillo, Welington,456078,2019,1177,-7,42.3,10.7,50.9,14.9,56.9,66.3,32.2,36.3,25.9
Smith, Kevan,607345,2019,949,-4,42,16.3,49.2,22.4,64.2,61.7,19,37.3,18.5